"N° 
OFS",Nom de la commune,Canton,District,Taille des communes par classe 2013,Régions urbaines / rurales 2000*,Taille des agglomé-rations par classe 2000*,Espace à caractère urbain 2012,Taille des agglomé-rations par classe 2012,Villes 2012,DEGURBA eurostat,Types de communes 2000 (22)*,Types de communes 2000 (9)*,Typologie des régions MS*
1,Aeugst am Albis,1,101,7,2,1,4,1,0,3,11,4,3
2,Affoltern am Albis,1,101,4,2,1,3,1,1,2,9,2,3
3,Bonstetten,1,101,5,2,1,4,1,0,2,11,4,3
4,Hausen am Albis,1,101,6,4,0,4,1,0,3,15,7,3
5,Hedingen,1,101,6,2,1,3,1,0,2,11,4,3
6,Kappel am Albis,1,101,8,4,0,5,0,0,3,16,7,3
7,Knonau,1,101,6,2,1,4,3,0,3,11,4,3
8,Maschwanden,1,101,8,4,0,4,1,0,3,16,7,3
9,Mettmenstetten,1,101,6,2,1,4,1,0,3,11,4,3
10,Obfelden,1,101,6,2,1,4,1,0,2,11,4,3
11,Ottenbach,1,101,6,2,1,4,1,0,3,11,4,3
12,Rifferswil,1,101,8,4,0,4,1,0,3,15,7,3
13,Stallikon,1,101,6,2,1,4,1,0,2,5,3,3
14,Wettswil am Albis,1,101,6,2,1,4,1,0,2,11,4,3
21,Adlikon,1,102,8,4,0,5,0,0,3,16,7,3
22,Benken (ZH),1,102,8,4,0,5,0,0,3,16,7,3
23,Berg am Irchel,1,102,8,4,0,4,1,0,3,16,7,3
24,Buch am Irchel,1,102,8,4,0,5,0,0,3,16,7,3
25,Dachsen,1,102,7,2,4,5,0,0,2,11,4,3
26,Dorf,1,102,8,4,0,5,0,0,3,15,7,3
27,Feuerthalen,1,102,6,2,4,2,4,0,2,10,2,3
28,Flaach,1,102,7,4,0,5,0,0,3,20,8,3
29,Flurlingen,1,102,7,2,4,2,4,0,2,11,4,3
30,Andelfingen,1,102,6,4,0,5,0,0,3,4,6,3
31,Henggart,1,102,6,2,3,5,0,0,3,11,4,3
32,Humlikon,1,102,8,4,0,5,0,0,3,20,8,3
33,Kleinandelfingen,1,102,6,4,0,5,0,0,3,17,6,3
34,Laufen-Uhwiesen,1,102,7,2,4,4,4,0,2,11,4,3
35,Marthalen,1,102,7,4,0,5,0,0,3,17,6,3
36,Oberstammheim,1,102,7,4,0,0,0,0,3,20,8,3
37,Ossingen,1,102,7,4,0,5,0,0,3,20,8,3
38,Rheinau,1,102,7,4,0,5,0,0,3,8,6,3
39,Thalheim an der Thur,1,102,8,4,0,5,0,0,3,15,7,3
40,Trüllikon,1,102,8,4,0,5,0,0,3,15,7,3
41,Truttikon,1,102,8,4,0,5,0,0,3,20,8,3
42,Unterstammheim,1,102,8,4,0,0,0,0,3,20,8,3
43,Volken,1,102,8,4,0,5,0,0,3,16,7,3
44,Waltalingen,1,102,8,4,0,0,0,0,3,20,8,3
51,Bachenbülach,1,103,6,2,1,3,1,0,2,10,2,2
52,Bassersdorf,1,103,4,2,1,2,1,1,2,10,2,1
53,Bülach,1,103,4,2,1,3,1,1,2,9,2,2
54,Dietlikon,1,103,5,2,1,2,1,0,1,9,2,1
55,Eglisau,1,103,6,2,1,4,1,0,3,11,4,2
56,Embrach,1,103,5,2,1,3,1,0,2,10,2,2
57,Freienstein-Teufen,1,103,6,2,1,3,1,0,2,11,4,2
58,Glattfelden,1,103,6,2,1,4,1,0,3,11,4,2
59,Hochfelden,1,103,6,2,1,4,1,0,2,11,4,2
60,Höri,1,103,6,2,1,3,1,0,2,10,2,2
61,Hüntwangen,1,103,7,2,1,4,1,0,3,11,4,2
62,Kloten,1,103,4,2,1,2,1,1,1,9,2,1
63,Lufingen,1,103,7,2,1,4,1,0,2,11,4,2
64,Nürensdorf,1,103,5,2,1,4,1,0,2,11,4,1
65,Oberembrach,1,103,7,4,0,4,1,0,2,15,7,2
66,Opfikon,1,103,4,2,1,2,1,1,1,9,2,1
67,Rafz,1,103,6,2,1,4,1,0,3,11,4,2
68,Rorbas,1,103,6,2,1,3,1,0,2,11,4,2
69,Wallisellen,1,103,4,2,1,2,1,1,1,9,2,1
70,Wasterkingen,1,103,8,2,1,4,1,0,3,11,4,2
71,Wil (ZH),1,103,7,2,1,4,1,0,3,11,4,2
72,Winkel,1,103,6,2,1,3,1,0,2,10,2,2
81,Bachs,1,104,8,4,0,4,1,0,3,20,8,2
82,Boppelsen,1,104,7,2,1,4,1,0,2,11,4,1
83,Buchs (ZH),1,104,5,2,1,4,1,0,2,10,2,1
84,Dällikon,1,104,6,2,1,4,1,0,2,9,2,1
85,Dänikon,1,104,7,2,1,4,1,0,2,11,4,1
86,Dielsdorf,1,104,5,2,1,4,1,0,2,9,2,2
87,Hüttikon,1,104,8,2,1,4,1,0,3,11,4,1
88,Neerach,1,104,6,2,1,4,1,0,2,11,4,2
89,Niederglatt,1,104,6,2,1,3,1,0,2,10,2,2
90,Niederhasli,1,104,5,2,1,3,1,0,2,10,2,2
91,Niederweningen,1,104,6,2,1,4,1,0,2,11,4,2
92,Oberglatt,1,104,5,2,1,3,1,0,2,10,2,2
93,Oberweningen,1,104,7,2,1,4,1,0,2,11,4,2
94,Otelfingen,1,104,6,2,1,4,1,0,2,9,2,1
95,Regensberg,1,104,8,2,1,4,1,0,2,11,4,2
96,Regensdorf,1,104,4,2,1,3,1,1,2,9,2,1
97,Rümlang,1,104,5,2,1,4,1,0,1,9,2,1
98,Schleinikon,1,104,8,2,1,4,1,0,2,11,4,2
99,Schöfflisdorf,1,104,7,2,1,4,1,0,2,11,4,2
100,Stadel,1,104,6,2,1,4,1,0,3,11,4,2
101,Steinmaur,1,104,6,2,1,4,1,0,2,10,2,2
102,Weiach,1,104,7,2,1,4,1,0,3,11,4,2
111,Bäretswil,1,105,6,2,5,4,1,0,2,11,4,5
112,Bubikon,1,105,5,2,1,4,1,0,2,9,2,5
113,Dürnten,1,105,5,2,5,2,5,0,2,11,4,5
114,Fischenthal,1,105,6,4,0,0,0,0,3,19,8,5
115,Gossau (ZH),1,105,5,2,1,4,1,0,2,11,4,5
