ID_election,ID_user,ID_Candidate,firstname,lastname,gender,year_of_birth,age,zip,city,country,language,ID_party,party_short,ID_party_REC,party_REC,ID_district,district,incumbent,elected,ID_civil_status,civil_status,ID_denomination,denomination,ID_education,education,ID_employment,employment,occupation
95,257714,34220,Marco,Schläpfer,m,1984,31,8610,Uster,Schweiz,de_CH,18800014678,Afl,99,Andere,18800000024,Zürich,0,0,1,Ledig,10,Konfessionslos,13,Universität oder ETH,1,Selbstständig erwerbend,Unternehmer
95,3729,4068,Samir,Jamal-Aldin,m,1959,56,8006,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Filmemacher / Regisseur
95,3741,4081,Markus,Bischoff,m,1956,59,8049,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,8,In Partnerschaft,1,Keine Angabe,13,Universität oder ETH,1,Selbstständig erwerbend,Rechtsanwalt
95,3745,4085,David,Winizki,m,1948,67,8005,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,2,Verheiratet,10,Konfessionslos,13,Universität oder ETH,1,Selbstständig erwerbend,Hausarzt
95,3763,4106,Ezgi,Akyol,f,1986,29,8004,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,1,Ledig,10,Konfessionslos,,,3,Teilzeit beschäftigt (angestellt; 5 bis 39 Stunden pro Woche),Studentin
95,3922,4327,Walter,Angst,m,1961,54,8055,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,8,In Partnerschaft,2,Protestantisch,10,"Höhere Fachschule (Krankenpflegeschule, Schule für Sozialarbeit etc.)",3,Teilzeit beschäftigt (angestellt; 5 bis 39 Stunden pro Woche),"Mieterverband Zürich, Leiter Kommunikation"
95,3926,4331,Stefan,Wyss,m,1980,35,8003,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Konzertveranstalter
95,3937,4343,Evelyn Christina,Funkhouser,f,1980,35,8608,Bubikon,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Dipl. Landwirtin Bio
95,3946,4353,Niklaus,Scherr,m,1944,71,8004,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Journalist
95,3951,4358,Isabel,Maiorano,f,1975,40,8055,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Hortleiterin
95,6220,7303,Kaspar,Bütikofer,m,1969,46,8057,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,1,Ledig,10,Konfessionslos,13,Universität oder ETH,3,Teilzeit beschäftigt (angestellt; 5 bis 39 Stunden pro Woche),Gewerkschaftssekretär
95,6222,7310,Rahel,El-Maawi,f,1977,38,8003,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,8,In Partnerschaft,2,Protestantisch,12,Fachhochschule oder Technikum,,,"Dozentin, Soiokulturelle Animatorin"
95,10946,13186,Manuel,Sahli,m,1988,27,8406,Winterthur,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,1,Ledig,10,Konfessionslos,5,Berufslehre oder Berufsschule,2,Vollzeit beschäftigt (angestellt; 40 und mehr Stunden pro Woche),Informatiker
95,11800,14291,David,Garcia,m,1975,40,8001,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,8,In Partnerschaft,,,13,Universität oder ETH,3,Teilzeit beschäftigt (angestellt; 5 bis 39 Stunden pro Woche),Arzt
95,11826,14334,Rosa,Maino,f,1968,47,8037,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Filmfachfrau
95,11830,14341,Judith,Stofer,f,1959,56,8037,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,13,Universität oder ETH,,,Journalistin BR/lic. Theol.
95,11954,14547,Andrea,Leitner,f,1964,51,8037,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,10,Konfessionslos,13,Universität oder ETH,,,Berufsschullehrerin
95,11961,14556,Catherine,Rutherfoord,f,1965,50,8052,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Architektin FH
95,11962,14557,Andreas,Kirstein,m,1963,52,8046,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,5,Getrennt,3,Römisch-katholisch,9,"Maturitätsschule, Gymnasium oder Seminar",2,Vollzeit beschäftigt (angestellt; 40 und mehr Stunden pro Woche),Stv. Bibliotheksdirektor
95,11963,14560,Laura,Huonker,f,1981,34,8008,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Theaterregisseurin
95,16213,20818,Maria,Eisele,f,1956,59,8180,Bülach,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,2,Verheiratet,3,Römisch-katholisch,13,Universität oder ETH,1,Selbstständig erwerbend,"dipl. Shiatsu-Therapeutin SGS, Buchautorin"
95,173920,23038,Frédéric,Charpié,m,1970,45,2722,Les Reussilles,Schweiz,fr_CH,18800025747,AL,99,Andere,18800000005,Bern,0,0,2,Verheiratet,2,Protestantisch,10,"Höhere Fachschule (Krankenpflegeschule, Schule für Sozialarbeit etc.)",2,Vollzeit beschäftigt (angestellt; 40 und mehr Stunden pro Woche),"maître socioprofessionnel, Conseiller général"
95,241329,28449,Martin,Jucker,m,1991,24,8408,Winterthur,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Student Geographie
95,241334,28453,Ladina,Barbadimos,f,1985,30,8037,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,2,Verheiratet,,,12,Fachhochschule oder Technikum,3,Teilzeit beschäftigt (angestellt; 5 bis 39 Stunden pro Woche),Studentin 
95,241390,28493,Anne-Claude,Hensch Frei,f,1966,49,8052,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Heilpädagogin
95,241394,28496,Matthias,Noser,m,1981,34,8052,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Betreuer von Asylbewerbern
95,241396,28498,Paul,Riniker,m,1946,69,8004,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,"Regisseur, Produzent"
95,243650,29800,Olivier,Beroud,m,1981,34,2616,Renan BE,Schweiz,fr_CH,18800025747,AL,99,Andere,18800000005,Bern,0,0,1,Ledig,10,Konfessionslos,7,Handelsschule oder Handelsdiplom,2,Vollzeit beschäftigt (angestellt; 40 und mehr Stunden pro Woche),Cafetier-restaurateur
95,249953,31453,Christina,Schiller,f,1989,26,8008,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,1,Ledig,10,Konfessionslos,,,,,Studentin
95,249973,31473,Stefan,Bolz,m,1959,56,8102,Oberengstringen,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,1,Ledig,2,Protestantisch,13,Universität oder ETH,2,Vollzeit beschäftigt (angestellt; 40 und mehr Stunden pro Woche),IT Spezialist
95,249985,31485,Dayana,Mordasini,f,1982,33,8704,Herliberg,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,8,In Partnerschaft,,,,,3,Teilzeit beschäftigt (angestellt; 5 bis 39 Stunden pro Woche),Geschäftsführerin
95,249991,31491,Pascal,Werner,m,1945,70,8800,Thalwil,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Praktikant Soziale Arbeit
95,250002,31502,Beatrice,Rinderknecht Bär,f,1950,65,8700,Küsnacht,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,2,Verheiratet,1,Keine Angabe,12,Fachhochschule oder Technikum,1,Selbstständig erwerbend,Paar- und Familientherapeutin/Mediatorin
95,250014,31514,Ernst,Labhart,m,1953,62,8127,Forch,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Sekundarlehrer
95,256625,33590,Richard,Wolff,m,1961,54,8037,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Urbanist
95,256627,33592,Corin,Schäfli,f,1985,30,8050,Zürich,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,,,,,,,,,Ethnologin/Velokurrierin
95,256629,33594,Katharina,Gander,f,1976,39,8400,Winterthur,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,2,Verheiratet,10,Konfessionslos,13,Universität oder ETH,,,Geschäftsstellenleiterin
95,256630,33595,David,Berger,m,1979,36,8400,Winterthur,Schweiz,de_CH,18800001974,AL,99,Andere,18800000024,Zürich,0,0,8,In Partnerschaft,10,Konfessionslos,,,,,Informatiker/Receptionist
95,258587,34392,Angela,Penkov,f,1978,37,8200,Schaffhausen,Schweiz,de_CH,18800019672,AL,99,Andere,18800000015,Schaffhausen,0,0,,,,,,,,,Lehrerin für Gestaltung und Kunst 
95,258917,34454,Isabelle,Lüthi,f,1989,26,8200,Schaffhausen,Schweiz,de_CH,18800019672,AL,99,Andere,18800000015,Schaffhausen,0,0,,,,,,,,,Sozialcoach für Flüchtlinge
95,5593,6452,Astrid,Estermann,f,1970,45,6300,Zug,Schweiz,de_CH,18800001095,ALG,5,Grüne,18800000025,Zug,0,0,,,,,,,,,Leiterin Erwachsenenschutz
95,247524,30406,Andreas,Lustenberger,m,1986,29,6340,Baar,Schweiz,de_CH,18800001095,ALG,5,Grüne,18800000025,Zug,0,0,1,Ledig,3,Römisch-katholisch,13,Universität oder ETH,3,Teilzeit beschäftigt (angestellt; 5 bis 39 Stunden pro Woche),Jugendmarketing
95,247535,30417,Esther,Haas,f,1956,59,6330,Cham,Schweiz,de_CH,18800001095,ALG,5,Grüne,18800000025,Zug,0,0,4,Geschieden,3,Römisch-katholisch,13,Universität oder ETH,3,Teilzeit beschäftigt (angestellt; 5 bis 39 Stunden pro Woche),Berufsfachschullehrerin
95,247538,30420,Hanni,Schriber-Neiger,f,1959,56,6343,Rotkreuz,Schweiz,de_CH,18800001095,ALG,5,Grüne,18800000025,Zug,0,0,2,Verheiratet,,,,,,,"Familienfrau, Typografin"
95,257730,34222,Anastas,Odermatt,m,1985,30,6312,Steinhausen,Schweiz,de_CH,18800001095,ALG,5,Grüne,18800000025,Zug,0,0,1,Ledig,3,Römisch-katholisch,13,Universität oder ETH,3,Teilzeit beschäftigt (angestellt; 5 bis 39 Stunden pro Woche),"Religionswissenschaftler, Projektleiter, Erwachsenenbildner"
95,257731,34223,Zimmermann Gibson,Tabea,f,1970,45,6300,Zug,Schweiz,de_CH,18800001095,ALG,5,Grüne,18800000025,Zug,0,0,2,Verheiratet,,,,,,,"Kantonsschullehrerin, Gemeinderätin"
95,5154,5906,Roland,Schöni,m,1958,57,3805,Goldswil,Schweiz,de_CH,18800030116,ALP,99,Andere,18800000005,Bern,0,0,8,In Partnerschaft,10,Konfessionslos,15,Keine Antwort,12,Keine Antwort,Geschäftsführer
95,5967,6984,Martin,Frischknecht,m,1949,66,3636,Forst,Schweiz,de_CH,18800030116,ALP,99,Andere,18800000005,Bern,0,0,,,,,,,,,El. Ing. HTL
95,172788,22930,Raphael,Müller,m,1981,34,3855,Brienz,Schweiz,de_CH,18800030116,ALP,99,Andere,18800000005,Bern,0,0,,,,,,,,,Sanitärmonteur
95,172789,22931,Hansruedi,Fischer,m,1981,34,3636,Forst,Schweiz,de_CH,18800030116,ALP,99,Andere,18800000005,Bern,0,0,1,Ledig,10,Konfessionslos,,,,,Koch
95,172791,22933,Mirjam,Wenger,f,1992,23,3636,Forst,Schweiz,de_CH,18800030116,ALP,99,Andere,18800000005,Bern,0,0,,,,,,,,,Kaminfegerin
95,259120,34480,Fritz,Flückiger,m,1952,63,3662,Seftigen,Schweiz,de_CH,18800030116,ALP,99,Andere,18800000005,Bern,0,0,,,,,,,,,Lebenstherapeut
95,259121,34481,Armin,Stiefvater,m,1969,46,3812,Wilderswil,Schweiz,de_CH,18800030116,ALP,99,Andere,18800000005,Bern,0,0,,,,,,,,,Maurer
95,259122,34482,Manuela,Strahm,f,1971,44,3662,Seftigen,Schweiz,de_CH,18800030116,ALP,99,Andere,18800000005,Bern,0,0,,,,,,,,,Verkäuferin
95,259123,34483,Andreas,Lüthi,m,1952,63,3629,Oppligen,Schweiz,de_CH,18800030116,ALP,99,Andere,18800000005,Bern,0,0,,,,,,,,,Mental-Coach
95,259129,34486,Andreas,Wenger,m,1955,60,3636,Forst,Schweiz,de_CH,18800030116,ALP,99,Andere,18800000005,Bern,0,0,,,,,,,,,Landwirt
95,659,691,Christine,Bussat,f,1971,44,1263,Crassier,Schweiz,fr_CH,18800003415,BDP,7,BDP,18800000022,Waadt,0,0,8,In Partnerschaft,1,Keine Angabe,5,Berufslehre oder Berufsschule,1,Selbstständig erwerbend,Restauratrice
95,667,699,Tefik,Rashiti,m,1969,46,1260,Nyon,Schweiz,fr_CH,18800003415,BDP,7,BDP,18800000022,Waadt,0,0,,,,,,,,,Garagiste Indépendant
95,4219,4692,Anita,Luginbühl-Bachmann,f,1960,55,3704,Krattigen,Schweiz,de_CH,18800000448,BDP,7,BDP,18800000005,Bern,0,0,2,Verheiratet,2,Protestantisch,5,Berufslehre oder Berufsschule,3,Teilzeit beschäftigt (angestellt; 5 bis 39 Stunden pro Woche),"Dipl. KMU Geschäftsfrau SIU, Fraktionspräsidentin"
95,4237,4710,Hans,Grunder,m,1956,59,3415,Hasle-Rüegsau,Schweiz,de_CH,18800000448,BDP,7,BDP,18800000005,Bern,1,0,,,,,,,,,"Unternehmer, pat. Ingenieur-Geometer"
95,4246,4719,Heinz,Siegenthaler,m,1955,60,3295,Rüti b. Büren,Schweiz,de_CH,18800000448,BDP,7,BDP,18800000005,Bern,1,0,,,2,Protestantisch,11,"Höhere Berufsausbildung (Meisterdiplom, höhere Fachausweise etc.)",1,Selbstständig erwerbend,Meisterlandwirt
95,9959,11977,Vania,Kohli,f,1959,56,3006,Bern,Schweiz,de_CH,18800000448,BDP,7,BDP,18800000005,Bern,0,0,2,Verheiratet,3,Römisch-katholisch,13,Universität oder ETH,1,Selbstständig erwerbend,"Fürsprecherin, Grossrätin"
95,12188,14843,Ulrich,Stähli,m,1959,56,3144,Gasel,Schweiz,de_CH,18800000448,BDP,7,BDP,18800000005,Bern,0,0,2,Verheiratet,2,Protestantisch,5,Berufslehre oder Berufsschule,1,Selbstständig erwerbend,"Eidg. Dipl. Landwirt, Gastwirt, Grossrat"
95,12194,14850,Ueli,Frutiger,m,1958,57,3653,Oberhofen,Schweiz,de_CH,18800000448,BDP,7,BDP,18800000005,Bern,0,0,2,Verheiratet,2,Protestantisch,,,1,Selbstständig erwerbend,"Eidg. Dipl. Sanitärinstallateur, Grossrat"
95,12198,14854,Mathias,Kohler,m,1973,42,3612,Steffisburg,Schweiz,de_CH,18800000448,BDP,7,BDP,18800000005,Bern,0,0,,,,,,,,,"Unternehmer, Betriebswirtschafter NDS HF"
